ID,Date,Entry,Exit,Mode
00000023,14040206,07:58,17:00,paired
00000023,14040207,07:34,16:59,paired
00000023,14040201,09:48,16:59,paired
00000023,14040209,07:45,14:27,paired
00000023,14040210,07:51,16:59,paired
00000023,14040213,07:40,16:45,paired
00000023,14040214,07:41,16:56,paired
00000023,14040216,11:32,17:21,paired
00000023,14040220,10:03,17:59,paired
00000023,14040222,17:59,17:59,fallback
00000023,14040223,07:59,16:56,paired
00000023,14040208,16:58,16:58,fallback
00000023,14040215,17:01,17:01,fallback
00000023,14040224,17:53,17:53,fallback
00000023,14040227,09:44,17:56,paired
00000023,14040228,07:55,14:45,paired
00000023,14040229,09:53,18:01,paired
00000023,14040231,09:42,17:59,paired
00000023,14040230,08:04,17:15,paired
00000007,14040206,07:47,16:58,paired
00000007,14040207,08:01,16:58,paired
00000007,14040209,07:35,16:53,paired
00000007,14040210,07:49,16:51,paired
00000007,14040213,07:53,17:00,paired
00000007,14040214,07:44,16:56,paired
00000007,14040216,07:46,17:21,paired
00000007,14040217,07:39,17:09,paired
00000007,14040220,07:40,18:01,paired
00000007,14040221,07:37,17:00,paired
00000007,14040208,07:56,16:56,fallback
00000007,14040215,08:59,16:59,fallback
00000007,14040222,07:07,15:07,fallback
00000007,14040223,08:59,16:59,fallback
00000007,14040227,09:19,17:54,paired
00000007,14040228,07:49,16:57,paired
00000007,14040229,09:22,17:51,paired
00000007,14040231,09:20,17:58,paired
00000007,14040230,07:40,17:13,paired
00000015,14040206,07:55,16:58,paired
00000015,14040207,07:59,16:58,paired
00000015,14040209,07:51,16:56,paired
00000015,14040210,07:58,16:53,paired
00000015,14040213,07:57,16:55,paired
00000015,14040214,07:55,16:55,paired
00000015,14040216,07:51,17:22,paired
00000015,14040217,07:53,17:03,paired
00000015,14040221,07:52,16:55,paired
00000015,14040222,17:57,17:57,fallback
00000015,14040223,07:58,16:55,paired
00000015,14040208,16:56,16:56,fallback
00000015,14040215,17:00,17:00,fallback
00000015,14040220,10:03,17:59,paired
00000015,14040224,17:52,17:52,fallback
00000015,14040227,09:48,17:55,paired
00000015,14040228,07:53,16:56,paired
00000015,14040229,09:41,17:55,paired
00000015,14040231,09:49,17:59,paired
00000015,14040230,08:05,08:05,fallback
00000014,14040206,08:20,17:25,paired
00000014,14040207,08:26,17:23,paired
00000014,14040209,08:36,17:42,paired
00000014,14040210,08:30,17:30,paired
00000014,14040214,08:46,17:32,paired
00000014,14040216,08:41,17:48,paired
00000014,14040217,07:53,17:02,paired
00000014,14040220,18:11,18:11,fallback
00000014,14040221,09:07,17:54,paired
00000014,14040222,18:03,18:03,fallback
00000014,14040208,17:12,17:12,fallback
00000014,14040213,09:15,17:29,paired
00000014,14040215,17:02,17:02,fallback
00000014,14040227,10:02,18:04,paired
00000014,14040228,09:02,17:40,paired
00000014,14040229,09:48,18:05,paired
00000014,14040230,08:28,17:41,paired
00000014,14040231,10:06,18:06,paired
00000033,14040207,07:57,17:00,paired
00000033,14040209,07:57,17:02,paired
00000033,14040210,08:00,17:00,paired
00000033,14040214,07:58,17:05,paired
00000033,14040216,08:03,17:09,paired
00000033,14040217,08:00,17:07,paired
00000033,14040222,18:01,18:01,fallback
00000033,14040223,08:00,17:05,paired
00000033,14040208,16:58,16:58,fallback
00000033,14040213,08:14,17:18,paired
00000033,14040215,17:04,17:04,fallback
00000033,14040221,11:28,17:06,paired
00000033,14040224,17:57,17:57,fallback
00000033,14040227,09:20,18:03,paired
00000033,14040228,08:12,17:12,paired
00000034,14040209,07:45,16:55,paired
00000034,14040210,07:51,16:46,paired
00000034,14040213,07:44,10:51,paired
00000034,14040214,12:48,16:57,paired
00000034,14040216,10:20,16:59,paired
00000034,14040217,11:16,16:27,paired
00000034,14040208,16:57,16:57,fallback
00000057,14040222,17:16,18:04,paired
00000057,14040223,07:59,17:05,paired
00000057,14040224,17:58,17:58,fallback
00000057,14040227,09:57,18:14,paired
00000057,14040228,08:10,17:06,paired
00000057,14040229,10:09,18:03,paired
00000057,14040231,09:43,18:02,paired
00000057,14040230,08:04,17:06,paired
00000036,14040223,08:00,17:18,paired
00000036,14040224,18:00,18:00,fallback
00000036,14040227,09:48,18:10,paired
00000036,14040228,08:05,17:13,paired
00000036,14040229,10:14,18:09,paired
00000036,14040231,10:17,18:07,paired
00000036,14040230,08:09,17:23,paired
